method,design,sample,adjustment,coef,tstat,se,ci_low,ci_high,n,pval
RDFlex,fuzzy,Auth,ML (LightGBM),169.48,1.07,158.76,-144.3,480.64,2645,0.2857
RDFlex,fuzzy,Auth,ML (XGBoost),157.42,1.03,153.5,-140.26,458.42,2645,0.3051
RDFlex,fuzzy,Auth,lasso+interactions,148.81,1.05,141.61,-129.48,426.35,2645,0.2933
RDFlex,fuzzy,Auth,ML (NNet),141.19,1.0,141.9,-138.8,419.31,2645,0.3197
RDFlex,fuzzy,Auth,ML (SuperLearner),141.84,1.01,140.03,-131.62,416.3,2645,0.3111
RDFlex,fuzzy,Auth_NegRet,no covariates,336.19,0.96,349.04,-349.13,1019.26,1287,0.3355
RDFlex,fuzzy,Auth_NegRet,linear (Ridge),1023.19,0.33,3100.15,-4965.35,7187.02,1287,0.7414
RDFlex,fuzzy,Auth_NegRet,ML (RandomForest),2587.27,1.28,2028.57,-1392.72,6559.12,1287,0.2022
RDFlex,fuzzy,Auth_NegRet,ML (LightGBM),353.64,0.96,366.71,-356.96,1072.84,1287,0.3349
RDFlex,fuzzy,Auth_NegRet,ML (XGBoost),330.03,0.93,353.4,-365.23,1022.54,1287,0.3504
RDFlex,fuzzy,Auth_NegRet,lasso+interactions,331.52,0.97,341.94,-341.33,1001.71,1287,0.3323
RDFlex,fuzzy,Auth_NegRet,ML (NNet),307.87,0.92,333.5,-341.17,967.59,1287,0.3559
RDFlex,fuzzy,Auth_NegRet,ML (SuperLearner),313.57,0.94,334.93,-340.79,968.42,1287,0.3491
RDFlex,fuzzy,Auth_PosRet,no covariates,4.01,0.04,101.78,-195.54,207.09,1358,0.9686
RDFlex,fuzzy,Auth_PosRet,linear (Ridge),4.98,0.04,137.7,-264.9,274.87,1358,0.9711
RDFlex,fuzzy,Auth_PosRet,ML (RandomForest),-1.14,-0.0,10989.61,-21456.74,21495.83,1358,0.9999
RDFlex,fuzzy,Auth_PosRet,ML (LightGBM),-29.63,-0.25,119.25,-263.36,203.58,1358,0.8038
RDFlex,fuzzy,Auth_PosRet,ML (XGBoost),2.91,0.03,108.02,-208.97,216.73,1358,0.9785
RDFlex,fuzzy,Auth_PosRet,lasso+interactions,2.45,0.02,101.43,-195.28,201.51,1358,0.9807
RDFlex,fuzzy,Auth_PosRet,ML (NNet),14.67,0.14,107.43,-189.92,217.08,1358,0.8914
RDFlex,fuzzy,Auth_PosRet,ML (SuperLearner),-4.37,-0.04,108.33,-216.7,205.01,1358,0.9678
