date,htime,after_auth,close_coindesk,ret_coindesk,vol,fret,flow,flow_scaled,netflow_lsg,netflow_plbt,netflow_oth_noplbt,price_dist,round_prc_dist,below_cutoff,in_bandwidth,inst,lag_ret,vol,vol_x_lagret,hour_of_day,day_of_week,lag_ret_eth,lag_ret_xrp,lag_ret_neg,netflow_bitt,netflow_huob,netflow_krak,netflow_aggplbt,lag_ret_neg
2017-03-01,2017-03-01 00:00:00,0,1190.555,-0.00014024448,0.017624188,8.851918,14.851695,0.14851695,9.919056,4.932639,0.0,,,,0,,,0.017624188,,0,2,,,1,0.0,0.0,0.0,14.851695,1
2017-03-01,2017-03-01 01:00:00,0,1193.558,0.002522294,0.014880481,1.5555038,31.41536,0.31415358,24.769554,6.6458063,2.5997496,190.55505,195.0,,0,,-0.00014024448,0.014880481,-2.0869054e-06,1,2,-0.007313547,-0.0035906916,0,0.0,0.0,2.59975,31.41536,0
2017-03-01,2017-03-01 02:00:00,0,1193.459,-8.294446e-05,0.015199976,-2.148718,-0.07982593,-0.0007982593,0.0,-0.07982593,0.0,193.55798,195.0,,0,,0.002522294,0.015199976,3.8338807e-05,2,2,-0.0050809733,-0.012612625,1,0.0,0.0,0.0,-0.07982593,1
2017-03-01,2017-03-01 03:00:00,0,1193.717,0.00021622582,0.015066043,-10.205834,17.905643,0.17905644,13.96773,3.9379144,0.0,193.45898,195.0,,0,,-8.294446e-05,0.015066043,-1.2496448e-06,3,2,0.00791571,0.007299326,0,0.0,0.0,0.0,17.905643,0
2017-03-01,2017-03-01 04:00:00,0,1194.115,0.0003333698,0.013786542,-14.064698,9.646388,0.09646388,9.654724,-0.00833573,0.0,193.71704,195.0,,0,,0.00021622582,0.013786542,2.9810064e-06,4,2,0.00076002814,-0.007246432,0,0.0,0.0,0.0,9.646388,0
2017-03-01,2017-03-01 05:00:00,0,1192.689,-0.0011942111,0.0134354215,-0.2670381,-5.0,-0.05,0.0,-5.0,0.0,194.11499,195.0,,0,,0.0003333698,0.0134354215,4.4789635e-06,5,2,0.001202459,0.0018248315,1,0.0,0.0,0.0,-5.0,1
2017-03-01,2017-03-01 06:00:00,0,1190.064,-0.0022009092,0.013007425,7.3351145,0.000775005,7.75005e-06,0.0,0.000775005,0.0,192.68896,195.0,,0,,-0.0011942111,0.013007425,-1.5533611e-05,6,2,0.0024020295,-0.009107453,1,0.0,0.0,0.0,0.000775005,1
2017-03-01,2017-03-01 07:00:00,0,1189.083,-0.00082428934,0.011761223,16.015951,6.563763,0.06563763,0.0,6.563763,0.0,190.06396,195.0,,0,,-0.0022009092,0.011761223,-2.5885383e-05,7,2,-0.0054230983,0.01102941,1,0.0,0.0,0.0,6.563763,1
2017-03-01,2017-03-01 08:00:00,0,1192.585,0.0029450872,0.012050699,20.25421,-3.1532307,-0.031532306,0.0,-3.1532304,0.0,189.08301,185.0,,0,,-0.00082428934,0.012050699,-9.933263e-06,8,2,0.0017752902,-0.0054545025,0,0.0,0.0,0.0,-3.1532307,0
2017-03-01,2017-03-01 09:00:00,0,1192.68,7.973669e-05,0.012782432,39.641293,0.344789,0.00344789,0.0,0.344789,0.0,192.58496,195.0,,0,,0.0029450872,0.012782432,3.7645375e-05,9,2,-0.004177214,-0.003656335,0,0.59110034,0.0,0.0,0.344789,0
2017-03-01,2017-03-01 10:00:00,0,1194.803,0.0017799616,0.012712426,72.998215,0.0,0.0,0.0,0.0,0.0,192.68005,195.0,,0,,7.973669e-05,0.012712426,1.0136467e-06,10,2,0.0019702641,-0.005504629,0,0.0,0.0,0.0,0.0,0
2017-03-01,2017-03-01 11:00:00,0,1199.841,0.0042165644,0.01238798,70.061005,-0.101561986,-0.0010156198,0.0,-0.101561986,0.0,194.80298,195.0,,0,,0.0017799616,0.01238798,2.2050128e-05,11,2,0.0022200982,0.005535098,0,0.0,0.0,0.0,-0.101561986,0
2017-03-01,2017-03-01 12:00:00,0,1206.915,0.005895862,0.01203166,29.916523,27.45522,0.2745522,26.705269,0.74995,0.0,199.84094,195.0,,0,,0.0042165644,0.01203166,5.073227e-05,12,2,0.002721533,0.0018348764,0,0.0,0.0,0.0,27.45522,0
2017-03-01,2017-03-01 13:00:00,0,1221.141,0.011787037,0.012678101,-4.462779,50.029434,0.5002943,0.0,50.029434,0.0,206.91504,205.0,,0,,0.005895862,0.012678101,7.474833e-05,13,2,-0.005617667,0.009157494,0,0.0,0.0,0.0,50.029434,0
2017-03-01,2017-03-01 14:00:00,0,1225.214,0.0033354035,0.016741559,-12.327854,44.498383,0.44498384,24.39916,20.099222,1.5999985,221.14099,225.0,,0,,0.011787037,0.016741559,0.00019733339,14,2,-0.0034276948,0.0018148959,0,0.15678349,0.0,1.6,44.498383,0
2017-03-01,2017-03-01 15:00:00,0,1217.682,-0.0061474834,0.016705522,18.513405,-7.883316,-0.07883316,11.835512,-19.71883,0.0,225.21399,225.0,,0,,0.0033354035,0.016705522,5.5719658e-05,15,2,0.009426736,-0.014492779,1,0.0,0.0,0.0,-7.883316,1
2017-03-01,2017-03-01 16:00:00,0,1219.476,0.0014732461,0.01703276,11.1361685,-11.783088,-0.11783088,-20.114164,8.331078,0.0,217.682,215.0,,0,,-0.0061474834,0.01703276,-0.000104708604,16,2,0.00012624993,0.005514748,0,0.0,0.0,0.0,-11.783088,0
2017-03-01,2017-03-01 17:00:00,0,1220.666,0.00097588106,0.017064804,4.049838,11.027265,0.110272646,0.0,11.027265,9.982945,219.47595,215.0,,0,,0.0014732461,0.017064804,2.5140656e-05,17,2,0.0042902105,-0.0127970865,0,0.0,0.0,9.982945,11.027265,0
2017-03-01,2017-03-01 18:00:00,0,1224.456,0.0031048944,0.01706754,-1.6056805,33.0499,0.330499,0.0,33.0499,29.999752,220.66602,225.0,,0,,0.00097588106,0.01706754,1.665589e-05,18,2,-0.0014448903,0.0,0,0.0,0.0,29.99975,33.0499,0
2017-03-01,2017-03-01 19:00:00,0,1223.55,-0.0007399252,0.01696421,6.2587595,-1.0,-0.01,-0.06175994,-0.93824005,0.0,224.45605,225.0,,0,,0.0031048944,0.01696421,5.2672083e-05,19,2,0.02887698,-0.0055555976,1,0.0,0.0,0.0,-1.0,1
2017-03-01,2017-03-01 20:00:00,0,1222.143,-0.001150018,0.017111996,18.657734,86.9549,0.86954904,63.934315,23.02059,-0.62210083,223.55005,225.0,,0,,-0.0007399252,0.017111996,-1.2661597e-05,20,2,0.0004891415,0.0,1,0.0,0.0,-0.6221,86.9549,1
2017-03-01,2017-03-01 21:00:00,0,1223.864,0.001408239,0.016758513,25.018833,24.072474,0.24072474,23.742573,0.32989997,59.69075,222.14294,225.0,,0,,-0.001150018,0.016758513,-1.9272591e-05,21,2,-0.003605917,0.0037244232,0,0.0,0.0,59.69075,24.072474,0
2017-03-01,2017-03-01 22:00:00,0,1225.846,0.0016194067,0.01677378,6.720853,43.61809,0.43618092,42.828293,0.7898006,0.0,223.86401,225.0,,0,,0.001408239,0.01677378,2.3621493e-05,22,2,0.0052751303,0.0,0,0.0,0.0,0.0,43.61809,0
2017-03-01,2017-03-01 23:00:00,0,1228.996,0.002569674,0.015672209,-0.35764784,9.998606,0.099986054,0.0,9.998606,5.1497498,225.84595,225.0,,0,,0.0016194067,0.015672209,2.537968e-05,23,2,0.030752316,-0.0018553017,0,0.0,0.0,5.14975,9.998606,0
2017-03-02,2017-03-02 00:00:00,0,1233.072,0.003316569,0.015852477,-29.882973,-12.142625,-0.12142625,0.0,-12.142625,0.0,228.99597,225.0,,0,,0.002569674,0.015852477,4.07357e-05,0,3,0.032084286,0.0018587502,0,0.0,0.0,0.0,-12.142625,0
2017-03-02,2017-03-02 01:00:00,0,1228.3,-0.0038699869,0.015818192,-14.361551,8.420645,0.08420645,8.661132,-0.24048753,0.0,233.07202,235.0,,0,,0.003316569,0.015818192,5.246212e-05,1,3,-0.007857707,-0.009276422,1,-0.19,0.0,0.0,8.420645,1
2017-03-02,2017-03-02 02:00:00,0,1228.848,0.0004461236,0.017022116,-21.989408,-20.162498,-0.20162499,-20.1125,-0.04999995,0.0,228.30005,225.0,,0,,-0.0038699869,0.017022116,-6.587536e-05,2,3,-0.0010405624,0.0,0,0.0,0.0,0.0,-20.162498,0
2017-03-02,2017-03-02 03:00:00,0,1222.039,-0.0055410285,0.016682204,4.503398,-79.73631,-0.7973631,0.0,-79.73631,0.0,228.84802,225.0,,0,,0.0004461236,0.016682204,7.4423247e-06,3,3,0.005555484,0.059925023,1,-51.0,0.0,0.0,-79.73631,1
