fret,below_cutoff,price_dist,lag_ret,vol,vol_x_lagret,hour_of_day,day_of_week,lag_ret_eth,lag_ret_xrp,lag_ret_neg,netflow_bitt,netflow_huob,netflow_krak,netflow_aggplbt
43.613567,0.0,30.574951,-0.0074276538,0.056672685,-0.00042094509,10,3,0.0077499077,0.005194784,0,-5.4541645,0.0,0.0,-5.156354
3.1914701,0.0,37.006958,0.006241183,0.05201535,0.0003246373,11,3,0.009306586,0.018087933,0,-0.10159117,0.0,3.301995,11.796009
-7.546705,0.0,44.505005,0.007230469,0.050897606,0.00036801357,12,3,-0.004755991,-0.011421347,0,0.6307332,0.0,0.0,2.4813774
-25.450256,0.0,47.692017,0.0030512172,0.04930286,0.00015043374,13,3,0.0043886458,0.0141205955,0,-0.016599998,0.0,0.0,32.63278
-28.68594,0.0,45.48401,-0.0048961597,0.039150946,-0.00019168928,15,3,-0.0018654827,0.010230138,1,-1.0,0.0,0.0,-5.000158
-11.757807,0.0,45.30603,-0.00017023552,0.039164852,-6.667249e-06,16,3,-0.005437094,0.011392433,1,0.25392443,0.0,-6.2825103,-25.689297
2.9017448,0.0,42.62097,-0.0025686817,0.038225323,-9.818869e-05,17,3,0.0042709718,0.047559462,1,-0.01,0.0,-30.5575,82.08345
-19.185974,0.0,39.55005,-0.0029453875,0.03717984,-0.000109509034,18,3,0.0034993242,-0.01672642,1,0.0,0.0,-24.192608,-23.679394
-43.543377,0.0,36.33606,-0.003091712,0.031737626,-9.81236e-05,19,3,-0.0034871215,0.0072904564,0,-0.01685,0.0,0.0,3.8585844
-34.18856,0.0,38.93701,0.0025097574,0.03166998,7.948397e-05,20,3,0.0023815206,0.0048250146,0,-22.6265,0.0,-16.82675,-23.450695
-14.383961,0.0,40.446045,0.001452478,0.031460907,4.5696277e-05,21,3,0.04584462,0.038415436,1,0.04255384,0.0,0.52635,32.313408
-32.66251,0.0,30.33496,-0.009718028,0.0339089,-0.00032952763,22,3,0.008391468,0.02427748,1,2.514811,0.0,-16.463,67.70186
-43.733395,0.0,25.391968,-0.0047974624,0.033684675,-0.00016160095,23,3,0.0025057162,0.006771955,0,-0.15,0.0,-15.818,-24.285898
-36.477886,0.0,29.759033,0.0042589228,0.030352604,0.00012926939,0,4,-0.010869044,0.23318386,1,0.0,0.0,0.0,5.0123134
-63.95323,0.0,25.869995,-0.0037766488,0.030348795,-0.00011461674,1,4,0.002295044,-0.0572727,1,0.0,0.0,3.09975,-23.986591
-13.88499,0.0,15.322998,-0.010281027,0.03128424,-0.0003216341,2,4,0.00013878845,-0.06557382,0,2.9597564,0.0,0.0,-11.012745
-20.738432,0.0,16.275024,0.00093765865,0.031160347,2.9217768e-05,3,4,-0.0002544249,-0.017543849,1,0.0,0.0,-5.55,-40.870743
49.277035,0.0,14.648987,-0.0015999976,0.031331424,-5.0130202e-05,4,4,-0.005736782,0.026260559,1,0.7989012,0.0,-14.039918,11.605139
-8.689588,1.0,-4.145996,-0.01852363,0.033043604,-0.0006120875,5,4,-0.010748639,0.015353095,0,169.0008,0.0,0.0,79.14548
-14.063135,0.0,11.745972,0.01595813,0.03679375,0.0005871595,6,4,0.008701762,0.055443548,1,-0.3201,0.0,0.0,4.527982
-51.084217,0.0,8.046997,-0.0036560309,0.03643784,-0.00013321787,7,4,-0.0011657551,-0.014326623,0,0.0112528,0.0,-0.1,-34.049747
-69.98344,0.0,10.547974,0.002481012,0.034372482,8.527854e-05,8,4,0.010130675,-0.013565904,1,-0.5,0.0,0.0,-9.537331
-108.954834,0.0,9.101013,-0.0014318572,0.0335239,-4.8001435e-05,9,4,0.03595701,-0.0166994,1,0.0,0.0,-42.4595,-46.14477
-64.27321,0.0,3.7849731,-0.005268095,0.0345782,-0.00018216125,10,4,0.0060226773,-0.030969033,1,-0.70761436,0.0,-28.060844,117.19051
7.5914245,1.0,-4.872986,-0.008625313,0.031752333,-0.0002738738,11,4,0.016674118,0.057731915,1,0.2513954,0.0,17.26,14.756405
62.82689,1.0,-11.940002,-0.007101623,0.031140858,-0.00022115064,12,4,0.0141324,-0.044834286,1,0.5999,0.0,0.0,29.10213
15.569478,1.0,-28.697021,-0.016959516,0.03710826,-0.00062933814,13,4,0.034838688,-0.04081635,0,0.0,0.0,5.76285,204.30005
-11.692163,1.0,-24.054993,0.004779177,0.0382276,0.00018269646,14,4,-0.0081462655,0.055319175,0,-1.2001,0.0,-62.5445,51.298283
