depvar,bandwidth,time,coef,se,t_stat,n_obs,method,path,pvalue,ci_lower,ci_upper,ci_width,auto_bw
securitized,0.15,1,-0.053068748180209034,0.02542366234059068,-2.087376219415918,20360,lgbm,rdflex,0.03685413986487173,-0.10243948552551226,-0.003508640495055587,0.09893084503045667,
securitized,0.15,1,-0.0523635208157052,0.02577080451346691,-2.031893136605102,20360,xgb,rdflex,0.042164475516896005,-0.10332285013456202,-0.001404191496848388,0.10191865863771363,
securitized,0.15,1,-0.05657902793065069,0.02568956919949395,-2.202412484665769,20360,nnet,rdflex,0.027636184790417708,-0.10705963521194672,-0.006098420649354654,0.10096121456259208,
securitized,0.15,1,-0.05373504378582439,0.025783474161807995,-2.0840885696241784,20360,sl,rdflex,0.03715211158553107,-0.10417675690166124,-0.0032933306699875348,0.1008834262316737,
securitized,0.2,1,-0.05484354314288398,0.02798604054417743,-1.9596749692515658,20360,nocov,rdflex,0.05003379260711947,-0.10965799465403478,-2.9091631733181578e-05,0.1096289030223016,
securitized,0.2,1,-0.05215596166532531,0.025625566492361425,-2.0353096069455545,20360,ridge,rdflex,0.041819730129998046,-0.10238534393715648,-0.002032890819258955,0.10035245311789753,
securitized,0.2,1,-0.05572589641408304,0.025634028385777607,-2.173903203017484,20360,lasso,rdflex,0.029712405458148537,-0.10582886319440139,-0.005622929633764692,0.1002059335606367,
securitized,0.2,1,-0.04900187354194926,0.025639556946956226,-1.9111825388919783,20360,rf,rdflex,0.055981126990815755,-0.09925286673266977,0.001249119648771252,0.10050198638144102,
securitized,0.2,1,-0.050964448151135835,0.02546218455434311,-2.001574061422895,20360,lgbm,rdflex,0.04533056103422948,-0.10113354092163919,-0.001157980050616618,0.09997556087102258,
securitized,0.2,1,-0.05227425368550817,0.025791150459429372,-2.0268290771959903,20360,xgb,rdflex,0.042679895682543836,-0.1027674339901785,-0.0017810733808378415,0.10098636060934066,
securitized,0.2,1,-0.055116862573439826,0.02572313644678261,-2.1426960389324416,20360,nnet,rdflex,0.032137513656844245,-0.10538435876005746,-0.0048350850422784475,0.10054927371777901,
securitized,0.2,1,-0.054434614434704015,0.02580110223629217,-2.109778641864981,20360,sl,rdflex,0.0348774269751478,-0.10491933820594117,-0.003949890663466862,0.1009694475424743,
securitized,auto,1,-0.054945359984690426,0.02798188442660739,-1.9636047074958265,20360,nocov,rdflex,0.04957595106318581,-0.10977156771310537,-0.00011915225627549125,0.10965241545682988,
securitized,auto,1,-0.052557266388822424,0.025540077178035983,-2.057835065354491,20360,ridge,rdflex,0.039605968764487735,-0.10258085068620945,-0.0025336820914354033,0.10004716859477406,
securitized,auto,1,-0.054199298960572635,0.02542244075691483,-2.131947104482113,20360,lasso,rdflex,0.03301119523486132,-0.1039539399292358,-0.004444657991909469,0.09950928193732633,
securitized,auto,1,-0.049416455473490536,0.025439723626974706,-1.9424918367073922,20360,rf,rdflex,0.052077587231936597,-0.0993187819098634,0.00048587096288232184,0.09980465287274573,
securitized,auto,1,-0.05145774113629189,0.025419679612406133,-2.0243268963617393,20360,lgbm,rdflex,0.042936527985046415,-0.10132346907781148,-0.0016539430180855172,0.09966952605972595,
securitized,auto,1,-0.050960725090721005,0.025583945951285707,-1.991902468358678,20360,xgb,rdflex,0.046381760098417324,-0.10089274050685847,-0.0005832129378944978,0.10030952756896397,
securitized,auto,1,-0.05418058083573283,0.025442740473105366,-2.1295104154760858,20360,nnet,rdflex,0.033212054086527505,-0.10398873389437571,-0.004372427777089953,0.09961630611728575,
