"depvar","bandwidth","time","method","coef","se","t_stat","pvalue","ci_lower","ci_upper","ci_width","n_obs"
"approved","0.01",1,"rdrobust",0.00925068393179886,0.0471360318555509,0.196255042430125,0.145403810697948,-0.023756770571457,0.161013079050568,0.184769849622025,3127
"approved","0.02",1,"rdrobust",0.0284538422146735,0.0247109171554142,1.15146847993213,0.922720151177567,-0.0508296608830516,0.0460353544160778,0.0968650152991294,4168
"approved","0.03",1,"rdrobust",0.040925039910587,0.0197960001756461,2.06733883347479,0.181942186107232,-0.0123757688783963,0.0652231258860335,0.0775988947644298,5550
"approved","0.04",1,"rdrobust",0.0406433871294484,0.0180478792119989,2.251975794609,0.0541240044704072,-0.000615814875163948,0.07013057163053,0.0707463865056939,6664
"approved","0.05",1,"rdrobust",0.0334263994606874,0.0167032947030029,2.00118599683678,0.00672587151516102,0.012530089696788,0.0780058017788768,0.0654757120820887,8305
"approved","0.1",1,"rdrobust",0.0234209553044546,0.0139885932487533,1.67428953633647,0.0189504323145969,0.00540715943684825,0.0602414373607213,0.0548342779238731,14486
"approved","0.15",1,"rdrobust",0.0109355463373647,0.0123810036768106,0.883252006284983,0.0138098075984153,0.00621785041534986,0.0547504930133634,0.0485326425980136,21421
"approved","0.2",1,"rdrobust",0.00399239457711241,0.0111792096032577,0.357126730672353,0.0555709702602405,-0.000509536103863978,0.0433121602921549,0.0438216963960189,28150
"approved","auto",1,"rdrobust",0.041522539038837,0.0167827501203609,2.47412007811888,0.00604531404275627,0.0131803225644817,0.078967494159367,0.0657871715948853,6141
"approved","0.01",2,"rdrobust",0.0473795627168627,0.0564820650623925,0.838842607197969,0.682289867268035,-0.0875824218780679,0.133823204711407,0.221405626589475,2618
"approved","0.02",2,"rdrobust",0.079367666634252,0.0349487145129706,2.27097527735379,0.0578204927586421,-0.00219853868492156,0.134797904817868,0.136996443502789,3319
"approved","0.03",2,"rdrobust",0.0842171916686675,0.0286740920586823,2.9370482418873,0.0047709444983416,0.0247211318482464,0.137121507297053,0.112400375448807,4006
"approved","0.04",2,"rdrobust",0.0822120409418133,0.0257341289069219,3.1946696637437,0.000971692383126279,0.0344485593014369,0.135324490963593,0.100875931662156,4732
"approved","0.05",2,"rdrobust",0.080551378822445,0.0232229554744087,3.46861013927411,0.000232722929929387,0.0399573083357938,0.13098962102463,0.0910323126888365,6302
"approved","0.1",2,"rdrobust",0.0623632525488161,0.0178194188039853,3.49973549838049,1.47923113810599e-05,0.0422640005302543,0.112114838692748,0.069850838162494,10526
"approved","0.15",2,"rdrobust",0.0465246208434064,0.0155987475595558,2.98258694589267,1.01951101181172e-05,0.0382641867555888,0.0994101535969118,0.061145966841323,15346
"approved","0.2",2,"rdrobust",0.0396887020140392,0.0138968609131057,2.85594727199219,5.94281362124637e-05,0.0285595234473744,0.0830342172230735,0.0544746937756992,19944
"approved","auto",2,"rdrobust",0.0838247432625261,0.0244840394391452,3.42364843313014,0.000647591304363906,0.0355237130574995,0.131499384051065,0.0959756709935657,4088
"approved","0.01",3,"rdrobust",0.0499996396481597,0.0568513373379858,0.879480448294607,0.46424293785848,-0.0698183215174389,0.15303482579334,0.222853147310779,2314
"approved","0.02",3,"rdrobust",0.0642358206930028,0.0375416335703821,1.71105555576251,0.182725160124209,-0.0235593631274446,0.123601136310053,0.147160499437498,3278
"approved","0.03",3,"rdrobust",0.0505733558433371,0.0303846662675029,1.66443677209075,0.0188411970843565,0.0118103418492486,0.130916044982398,0.119105703133149,3756
"approved","0.04",3,"rdrobust",0.0448324455698229,0.0278120323563049,1.61198020322522,0.0229467797438549,0.00874286753365791,0.117764031044098,0.10902116351044,4157
"approved","0.05",3,"rdrobust",0.0565775877038189,0.0258140637249695,2.19173502888243,0.051448621853234,-0.000316098517714233,0.10087317187341,0.101189270391124,5172
"approved","0.1",3,"rdrobust",0.0456988482379415,0.0185140571965315,2.46833245424471,0.0027682410127608,0.0191139512497094,0.0916877218755419,0.0725737706258325,8009
"approved","0.15",3,"rdrobust",0.0352705582972616,0.0158880008896739,2.21994941605177,0.000997450030342688,0.0211513938897807,0.0834312129499831,0.0622798190602024,11037
"approved","0.2",3,"rdrobust",0.0300231963214074,0.0142266869552232,2.11034349851809,0.00286724499738647,0.0145348281910876,0.070302416294214,0.0557675881031265,14251
"approved","auto",3,"rdrobust",0.0465058280454455,0.025836515395095,1.80000388342905,0.0901677258664276,-0.00685831243849528,0.0944189668823066,0.101277279320802,4015
"approved","0.01",4,"rdrobust",0.0216756082272823,0.0520166337216187,0.416705324363841,0.301368436608791,-0.048191367154247,0.155710090228522,0.203901457382769,1363
"approved","0.02",4,"rdrobust",0.0309479693520955,0.0379029331410238,0.816505921506092,0.914901404885157,-0.0702381413134565,0.0783386264162161,0.148576767729673,2734
"approved","0.03",4,"rdrobust",0.0196709216556221,0.0310662694270532,0.633192269892962,0.353352331140217,-0.032055962798491,0.0897215756235928,0.121777538422084,3072
"approved","0.04",4,"rdrobust",0.00762073521254198,0.0296804593709182,0.256759341804831,0.47892797053948,-0.0371580399467981,0.07918722287641,0.116345262823208,3360
"approved","0.05",4,"rdrobust",-0.00921193164642755,0.0282964052683342,-0.325551304452668,0.551753098417652,-0.0386197482957091,0.0723001221400599,0.110919870435769,3886
"approved","0.1",4,"rdrobust",-0.0271357721329973,0.0204902822929842,-1.32432397684869,0.787329813828859,-0.0456880755979211,0.0346323550566947,0.0803204306546158,5605
"approved","0.15",4,"rdrobust",-0.0263087136467287,0.0173800736325286,-1.51372854931347,0.157150255819336,-0.0586522770063652,0.00947635973045542,0.0681286367368206,7347
"approved","0.2",4,"rdrobust",-0.0233636983296714,0.0157284220461425,-1.48544451955379,0.0544408271171124,-0.0610778100380067,0.000576471450163277,0.06165428148817,9196
"approved","auto",4,"rdrobust",-0.0127878540701995,0.0205542307424779,-0.622151917550083,0.751553901356834,-0.046792838193612,0.0337782657767531,0.0805711039703652,4340
"originated","0.01",1,"rdrobust",0.00535105365376499,0.0554504893993166,0.0965014684582917,0.139751343561849,-0.0267962467068875,0.190565677588674,0.217361924295561,3127
"originated","0.02",1,"rdrobust",0.0161198060359906,0.0294216602994853,0.547889067846813,0.655930326832615,-0.07077388984361,0.0445568992611163,0.115330789104726,4168
