depvar,bandwidth,time,coef,se,t_stat,n_obs,method
approved,0.01,1,0.03828903733129475,0.0153666188482303,2.491702157088663,2571285,paper_rdd
approved,0.01,2,0.05258384812246155,0.028389138036911062,1.8522523668768298,2571285,paper_rdd
approved,0.01,3,0.06480854520382688,0.027918171629972836,2.321374983390699,2571285,paper_rdd
approved,0.01,4,0.020758400649424424,0.04445619440037251,0.4669405676625007,2571285,paper_rdd
approved,0.02,1,0.03485406620179213,0.00825794015978879,4.22067313729282,2571285,paper_rdd
approved,0.02,2,0.05006775905312123,0.01674806799270653,2.9894647594531385,2571285,paper_rdd
approved,0.02,3,0.06086312454556433,0.01941310430343408,3.1351567268300284,2571285,paper_rdd
approved,0.02,4,0.026355128304029442,0.03628294420014246,0.7263778859469172,2571285,paper_rdd
approved,0.03,1,0.030028614314636583,0.006349256450666808,4.729469434406439,2571285,paper_rdd
approved,0.03,2,0.042484210524015735,0.01210010468227384,3.511061403150782,2571285,paper_rdd
approved,0.03,3,0.05826497715582658,0.01648947949730414,3.5334636951610454,2571285,paper_rdd
approved,0.03,4,0.02841036633611142,0.030724398249194745,0.9246842234528068,2571285,paper_rdd
approved,0.04,1,0.026821282483963996,0.006885675721493755,3.8952288154147165,2571285,paper_rdd
approved,0.04,2,0.03599555687922658,0.01031226468353157,3.490557892361955,2571285,paper_rdd
approved,0.04,3,0.057049428443014104,0.015081501316258463,3.78274199939979,2571285,paper_rdd
approved,0.04,4,0.029133290926502502,0.026727065125705867,1.0900295557884636,2571285,paper_rdd
approved,0.05,1,0.024159305981207357,0.006855751681149025,3.5239470600484544,2571285,paper_rdd
approved,0.05,2,0.031036307530407627,0.00901963984176598,3.440969714410564,2571285,paper_rdd
approved,0.05,3,0.0553381650700005,0.014043829276368405,3.9403900446951603,2571285,paper_rdd
approved,0.05,4,0.0289384998104368,0.024133124872225124,1.1991194660307831,2571285,paper_rdd
approved,0.1,1,0.014040669734177148,0.005732786944037586,2.4491874320883698,2571285,paper_rdd
approved,0.1,2,0.017589007683909245,0.004814616719885803,3.6532519008753903,2571285,paper_rdd
approved,0.1,3,0.04652766970700872,0.0108736713020525,4.278929205651656,2571285,paper_rdd
approved,0.1,4,0.025594904454452467,0.020066535761393986,1.2755018982247306,2571285,paper_rdd
approved,0.15,1,0.010247950360357385,0.00568936887082803,1.8012455499068212,2571285,paper_rdd
approved,0.15,2,0.013388122481144658,0.004610912645909299,2.9035732205905718,2571285,paper_rdd
approved,0.15,3,0.04277749518714349,0.009715224629079599,4.403140104357643,2571285,paper_rdd
approved,0.15,4,0.024121489266888597,0.01916977595852834,1.258308355771749,2571285,paper_rdd
approved,0.2,1,0.008767020635972822,0.005740482052083278,1.5272272531173898,2571285,paper_rdd
approved,0.2,2,0.011825297974135035,0.0049461373980302535,2.390814694885818,2571285,paper_rdd
approved,0.2,3,0.041278723255571394,0.009330871644427828,4.423887159590503,2571285,paper_rdd
approved,0.2,4,0.023594734042284522,0.01886694945540172,1.2505855330803999,2571285,paper_rdd
originated,0.01,1,0.04572442193095825,0.02701227534759052,1.692727522675606,2571285,paper_rdd
originated,0.01,2,0.024640608979150696,0.04478112425778272,0.550245430134959,2571285,paper_rdd
originated,0.01,3,0.050100436644294075,0.03308563838880978,1.5142653756754787,2571285,paper_rdd
originated,0.01,4,-0.008256109523680655,0.052489681763186934,-0.1572901424879849,2571285,paper_rdd
originated,0.02,1,0.04264659525364339,0.018321884657543974,2.3276314664541786,2571285,paper_rdd
originated,0.02,2,0.04081111768094648,0.025251186772142904,1.6162059252585026,2571285,paper_rdd
originated,0.02,3,0.060665901041572844,0.027045408205621672,2.243112789436944,2571285,paper_rdd
originated,0.02,4,0.0059991401237305285,0.04460074016986857,0.13450763599173263,2571285,paper_rdd
originated,0.03,1,0.035579483906935376,0.012893523163315332,2.7594850109057987,2571285,paper_rdd
originated,0.03,2,0.039260164663202646,0.01763442971964855,2.226335939826757,2571285,paper_rdd
originated,0.03,3,0.06083437103866919,0.022552513677074965,2.697454124615316,2571285,paper_rdd
originated,0.03,4,0.014002851269372415,0.03662993888043467,0.38227885978952114,2571285,paper_rdd
originated,0.04,1,0.03044239617892824,0.010962944671198762,2.776844825177747,2571285,paper_rdd
originated,0.04,2,0.03488172822121555,0.014771790606993782,2.361374402687553,2571285,paper_rdd
originated,0.04,3,0.06038675772170087,0.020005297080334574,3.0185384140614295,2571285,paper_rdd
originated,0.04,4,0.017718116085504755,0.02994029872233603,0.5917815399846598,2571285,paper_rdd
originated,0.05,1,0.026683487695178795,0.010283286036972513,2.5948405596461113,2571285,paper_rdd
originated,0.05,2,0.031171094892107207,0.013583829494807697,2.2947207121542634,2571285,paper_rdd
originated,0.05,3,0.05856184280597384,0.01827721306448493,3.2040903938340217,2571285,paper_rdd
originated,0.05,4,0.018410432890400116,0.025171943696236068,0.7313870201113236,2571285,paper_rdd
originated,0.1,1,0.014333820308539198,0.008749306513093039,1.6382807354033289,2571285,paper_rdd
originated,0.1,2,0.02297615945318105,0.009995429802897398,2.298666481207331,2571285,paper_rdd
originated,0.1,3,0.04831212933705175,0.015568654268735412,3.103166690140392,2571285,paper_rdd
originated,0.1,4,0.011554104172507863,0.016150433890956602,0.7154051866666912,2571285,paper_rdd
originated,0.15,1,0.00947484681650536,0.008880764929208949,1.0668953510234764,2571285,paper_rdd
originated,0.15,2,0.020712998222846526,0.009268920709192932,2.2346720694571633,2571285,paper_rdd
originated,0.15,3,0.044598646377318266,0.015670493152950136,2.8460269847297117,2571285,paper_rdd
originated,0.15,4,0.006858623103289422,0.014473227649612423,0.47388345359668876,2571285,paper_rdd
originated,0.2,1,0.00752246063977602,0.009139745305735114,0.823049263206026,2571285,paper_rdd
originated,0.2,2,0.0198627138822219,0.009361597973116654,2.1217225883082036,2571285,paper_rdd
originated,0.2,3,0.04321789139193318,0.015901848799999483,2.7177903610764167,2571285,paper_rdd
originated,0.2,4,0.004768865608124934,0.014057845348308761,0.3392316169347144,2571285,paper_rdd
securitized,0.01,1,0.046571164347229195,0.03246691866541882,1.434418979736229,2047579,paper_rdd
securitized,0.01,2,0.034194397975059715,0.02415990837908224,1.4153364093328014,2047579,paper_rdd
securitized,0.01,3,0.08721733718204082,0.03840778076887724,2.2708246984349367,2047579,paper_rdd
securitized,0.01,4,0.16628803290275987,0.04548048068470425,3.6562505584661724,2047579,paper_rdd
securitized,0.02,1,0.05666122030958249,0.03188807961286614,1.7768777862283351,2047579,paper_rdd
securitized,0.02,2,0.02904087622336919,0.026744766165575817,1.0858526877213375,2047579,paper_rdd
securitized,0.02,3,0.10422277282124173,0.02702546101100405,3.8564660480280057,2047579,paper_rdd
securitized,0.02,4,0.17726037044633636,0.04265094067395471,4.156071768765992,2047579,paper_rdd
securitized,0.03,1,0.049559381841629106,0.030826644210386195,1.6076800803679898,2047579,paper_rdd
securitized,0.03,2,0.02018691011647718,0.02771246427747913,0.7284415385925213,2047579,paper_rdd
securitized,0.03,3,0.10019269278407,0.025735895444156977,3.893110810986666,2047579,paper_rdd
securitized,0.03,4,0.1688078706187752,0.043183469889611845,3.9090853757303874,2047579,paper_rdd
securitized,0.04,1,0.03983938855706434,0.02971020817167064,1.340932662836476,2047579,paper_rdd
securitized,0.04,2,0.011838016562800821,0.027781077496374665,0.4261179777618648,2047579,paper_rdd
securitized,0.04,3,0.09332839801271824,0.025445620602758484,3.6677587656321804,2047579,paper_rdd
securitized,0.04,4,0.15827500347049805,0.04460391569988006,3.5484553539079453,2047579,paper_rdd
securitized,0.05,1,0.03131806580586865,0.028236591927208912,1.1091305171177692,2047579,paper_rdd
securitized,0.05,2,0.005725602862930565,0.0276251941960053,0.2072601851160383,2047579,paper_rdd
securitized,0.05,3,0.08673528014380606,0.025437207262007003,3.4097799829367994,2047579,paper_rdd
securitized,0.05,4,0.14866807289889988,0.046298708543871074,3.211063063627943,2047579,paper_rdd
securitized,0.1,1,0.015669539750526436,0.023292126549485617,0.6727397653982127,2047579,paper_rdd
securitized,0.1,2,-0.002384331970731838,0.025088847038312725,-0.09503553380076685,2047579,paper_rdd
securitized,0.1,3,0.0687864834779365,0.02715707922894934,2.5329116912031684,2047579,paper_rdd
securitized,0.1,4,0.12262613801579628,0.05187938367117901,2.363677617934382,2047579,paper_rdd
securitized,0.15,1,0.013904627089668038,0.022317316230106393,0.6230420784606031,2047579,paper_rdd
securitized,0.15,2,-0.0027466838586859836,0.023672901910515097,-0.11602649599396826,2047579,paper_rdd
securitized,0.15,3,0.06378087241915241,0.028494470938810707,2.238359594607531,2047579,paper_rdd
securitized,0.15,4,0.11456755696940886,0.05405008783001764,2.119655333950851,2047579,paper_rdd
securitized,0.2,1,0.013614616381317736,0.022101527756906582,0.6160034062379809,2047579,paper_rdd
securitized,0.2,2,-0.002661629432325464,0.023144544262086442,-0.11500029562844037,2047579,paper_rdd
securitized,0.2,3,0.062061101473609534,0.02914306034874586,2.129532750882845,2047579,paper_rdd
securitized,0.2,4,0.11153495812528723,0.05494798755971483,2.029827898684668,2047579,paper_rdd
