depvar,bandwidth,time,method,coef,se,t_stat,pvalue,ci_lower,ci_upper,ci_width,n_obs,seed
approved,0.05,1,nocov,0.04748846427259493,0.015035079397786847,3.1585110404927557,0.001585773026903233,0.018025268535007417,0.07694656195310687,0.05892129341809945,28150,42
approved,0.05,1,ridge,0.042699826270465785,0.015169305736609698,2.814883358004563,0.0048794940799674015,0.01292097409574225,0.07247867844518932,0.05955770434944707,28150,42
approved,0.05,1,lasso,0.04597135916333664,0.015168783014027609,3.0306557303129584,0.002440233102606549,0.016218128970671226,0.07572458935600206,0.059506460385330834,28150,42
approved,0.05,1,rf,0.045452759335895494,0.015151509165017368,2.999883301449555,0.002700830624915968,0.01574026212480531,0.07516525654698568,0.05942499442218037,28150,42
approved,0.05,1,lgbm,0.044163010428199076,0.01517230866052726,2.910764038375709,0.0036054618865158177,0.014425831891240498,0.07390018896515765,0.059474357073917156,28150,42
approved,0.05,1,xgb,0.04516634303782375,0.015163861338952034,2.9785515725999887,0.0028961428658300457,0.015445720946918443,0.07488696512872905,0.05944124418181061,28150,42
approved,0.05,1,nnet,0.04325964231993063,0.015268397155725965,2.8332798707497187,0.004607302835174409,0.013300747898217447,0.07321853674164382,0.05991778884342637,28150,42
approved,0.05,1,nocov,0.04738967897812901,0.015037124365827785,3.1515120727353403,0.0016242744774023752,0.01791931178663066,0.07686004616962737,0.05894073438299671,28150,123
approved,0.05,1,ridge,0.04236488637971351,0.01516475599674878,2.793641149834277,0.005211827828071166,0.012660198316261542,0.07206957444316547,0.05940937612690393,28150,123
approved,0.05,1,lasso,0.04606101342651356,0.015164193530934789,3.037485200419633,0.0023856111881467652,0.016347228152961565,0.07577479870006555,0.059427570547103986,28150,123
approved,0.05,1,rf,0.04614231333804996,0.015126505655091823,3.0504277980762677,0.002285156169975602,0.016628460904601853,0.07565616577149807,0.05902770486689622,28150,123
approved,0.05,1,lgbm,0.04352799175759231,0.015169479263935326,2.8694453514352283,0.004111923811940785,0.013719089274786635,0.07333689424039799,0.05961780496561136,28150,123
approved,0.05,1,xgb,0.04282022535024917,0.015145182378178773,2.827316586952739,0.004693989631766429,0.01310368476044537,0.07253676594005298,0.05943308117960761,28150,123
approved,0.05,1,nnet,0.042964553547144596,0.015298266817215442,2.808458896716047,0.004977923655064252,0.012943817165242726,0.07298528992904646,0.060041472763803734,28150,123
approved,0.05,1,nocov,0.047387157130138496,0.015037211301423378,3.1513261455369035,0.00162530889923038,0.017921823903988703,0.07685249035628829,0.05893066645229958,28150,456
approved,0.05,1,ridge,0.0422992045106266,0.015164982997506784,2.789268179039887,0.005282730091711702,0.012576384009351026,0.07202202501190216,0.05944564100255113,28150,456
approved,0.05,1,lasso,0.04585084508820434,0.015168814298192378,3.022704621920795,0.002505266459302425,0.016085608482237137,0.07561608169417154,0.0595304732119344,28150,456
