dayuserchgw,gt300,mktcap1_300,log_volume,log_users,mkt_ret,log_users_lag
45.0,1,21.042786,15.266617,7.3790083,0.1,7.3505163
-57.0,1,31.683777,12.388398,9.938565,0.1,9.941313
256.0,1,46.327057,15.260229,7.8135915,0.72,7.704361
256.0,1,46.327057,15.260229,7.8135915,0.72,7.704361
256.0,1,46.327057,15.260229,7.8135915,0.72,7.704361
11.0,1,10.576263,11.343323,5.2040067,-0.82,5.1416636
11.0,1,10.576263,11.343323,5.2040067,-0.82,5.1416636
44.0,1,58.879517,12.643285,7.167038,-0.22,7.132498
241.0,1,60.06894,14.633958,6.073045,0.48,5.26269
241.0,1,60.06894,14.633958,6.073045,0.48,5.26269
241.0,1,60.06894,14.633958,6.073045,0.48,5.26269
5.0,1,55.04956,13.710152,5.602119,-0.37,5.583496
5.0,1,55.04956,13.710152,5.602119,-0.37,5.583496
5.0,1,55.04956,13.710152,5.602119,-0.37,5.583496
-2.0,1,45.012146,11.503945,4.6728287,0.66,4.691348
254.0,1,39.983337,13.937429,5.872118,0.11,4.6151204
100.0,1,2.240631,14.721928,7.021084,-0.14,6.927558
223.0,1,59.910828,14.507033,5.8348107,-0.14,4.7791233
34.0,1,54.720276,14.446613,5.811141,0.18,5.7037826
7.0,1,64.418396,13.732597,2.3978953,-0.83,1.3862944
30.0,1,30.642487,12.1943035,3.9702919,-0.16,3.1354942
-1.0,1,35.500122,11.652697,6.315358,0.35,6.317165
5.0,1,7.046814,9.070619,8.2466955,0.35,8.245384
1312.0,1,19.996246,16.772686,9.188708,0.58,8.956866
1.0,1,7.3978577,12.520486,5.220356,0.58,5.214936
1.0,1,20.999908,11.104972,5.529429,-0.65,5.525453
-3.0,1,9.899109,16.55764,5.3936276,-0.4,5.4071717
-3.0,1,9.899109,16.55764,5.3936276,-0.4,5.4071717
-3.0,1,9.899109,16.55764,5.3936276,-0.4,5.4071717
6.0,1,61.84439,13.2112,5.583496,-0.4,5.560682
6.0,1,61.84439,13.2112,5.583496,-0.4,5.560682
6.0,1,61.84439,13.2112,5.583496,-0.4,5.560682
6.0,1,61.84439,13.2112,5.583496,-0.4,5.560682
6.0,1,61.84439,13.2112,5.583496,-0.4,5.560682
-33.0,1,58.841614,14.534967,6.2878585,-0.78,6.347389
-33.0,1,58.841614,14.534967,6.2878585,-0.78,6.347389
-33.0,1,58.841614,14.534967,6.2878585,-0.78,6.347389
-33.0,1,58.841614,14.534967,6.2878585,-0.78,6.347389
-33.0,1,58.841614,14.534967,6.2878585,-0.78,6.347389
2.0,1,57.99298,17.408113,5.7104273,-1.37,5.7037826
2.0,1,57.99298,17.408113,5.7104273,-1.37,5.7037826
0.0,1,5.065857,9.210441,6.995766,-1.37,6.995766
51.0,1,31.67389,14.396345,5.874931,-1.37,5.7203116
75.0,1,10.734833,12.271163,4.762174,-0.34,3.7376697
75.0,1,10.734833,12.271163,4.762174,-0.34,3.7376697
41.0,1,48.490173,16.84397,6.7214255,1.04,6.6707664
41.0,1,48.490173,16.84397,6.7214255,1.04,6.6707664
41.0,1,48.490173,16.84397,6.7214255,1.04,6.6707664
41.0,1,48.490173,16.84397,6.7214255,1.04,6.6707664
8.0,1,11.558472,10.325515,8.64629,-0.2,8.644882
-3.0,1,25.81253,11.170435,3.988984,1.04,4.0430512
333.0,1,24.66037,12.906578,6.4457197,-0.07,5.6937323
246.0,1,63.7377,14.56104,6.668228,-0.07,6.2934194
56.0,1,14.371277,16.005585,6.939254,0.68,6.8834624
56.0,1,14.371277,16.005585,6.939254,0.68,6.8834624
56.0,1,14.371277,16.005585,6.939254,0.68,6.8834624
56.0,1,14.371277,16.005585,6.939254,0.68,6.8834624
-8.0,1,16.912811,12.346769,5.164786,0.68,5.209486
644.0,1,29.944977,16.100246,8.839131,0.68,8.741137
644.0,1,29.944977,16.100246,8.839131,0.68,8.741137
644.0,1,29.944977,16.100246,8.839131,0.68,8.741137
644.0,1,29.944977,16.100246,8.839131,0.68,8.741137
644.0,1,29.944977,16.100246,8.839131,0.68,8.741137
644.0,1,29.944977,16.100246,8.839131,0.68,8.741137
644.0,1,29.944977,16.100246,8.839131,0.68,8.741137
1.0,1,11.981598,9.982345,3.0445225,0.14,2.9957323
0.0,1,59.910034,18.350687,6.424869,-0.58,6.424869
0.0,1,59.910034,18.350687,6.424869,-0.58,6.424869
0.0,1,59.910034,18.350687,6.424869,-0.58,6.424869
0.0,1,59.910034,18.350687,6.424869,-0.58,6.424869
0.0,1,59.910034,18.350687,6.424869,-0.58,6.424869
-1.0,1,65.99997,11.461642,6.2859983,0.64,6.2878585
0.0,1,7.6171875,9.392745,6.291569,0.64,6.291569
-33.0,1,2.8025208,11.751903,6.3350544,0.64,6.391917
29.0,1,11.220245,13.260618,4.4886365,-0.63,4.0943446
0.0,1,24.874878,14.775183,3.3322046,-0.17,3.3322046
40.0,1,41.349976,13.975255,5.768321,-0.87,5.6347895
40.0,1,41.349976,13.975255,5.768321,-0.87,5.6347895
2.0,1,71.520386,6.398595,5.17615,-0.87,5.164786
115.0,1,5.742401,13.428381,5.17615,1.29,4.1271343
40.0,1,66.39285,14.223061,5.7525725,0.07,5.616771
40.0,1,66.39285,14.223061,5.7525725,0.07,5.616771
40.0,1,66.39285,14.223061,5.7525725,0.07,5.616771
102.0,1,34.972076,14.663445,7.1654935,1.97,7.083388
160.0,1,73.77011,15.55439,7.559038,-0.78,7.471932
8.0,1,30.005524,11.664238,5.030438,-0.78,4.9767337
35.0,1,9.011902,13.957047,4.762174,-1.31,4.406719
46.0,1,68.61688,13.688082,4.983607,-1.31,4.6051702
46.0,1,68.61688,13.688082,4.983607,-1.31,4.6051702
-2.0,1,50.95349,2.3978953,6.347389,1.14,6.350886
336.0,1,66.51068,14.661017,7.7583337,1.14,7.6033993
336.0,1,66.51068,14.661017,7.7583337,1.14,7.6033993
336.0,1,66.51068,14.661017,7.7583337,1.14,7.6033993
336.0,1,66.51068,14.661017,7.7583337,1.14,7.6033993
-1.0,1,17.457886,12.573947,7.327123,1.14,7.3277807
0.0,1,13.403351,13.301224,5.5645204,0.85,5.5645204
3.0,1,35.79648,12.143569,5.590987,0.85,5.57973
3.0,1,35.79648,12.143569,5.590987,0.85,5.57973
0.0,1,4.27594,9.169622,5.7745514,0.85,5.7745514
228.0,1,19.78482,15.406888,8.1365185,-0.1,8.067463
15.0,1,22.429932,11.52811,7.999007,-0.1,7.9939575
15.0,1,22.429932,11.52811,7.999007,-0.1,7.9939575
15.0,1,56.276276,13.669349,5.0039463,-0.46,4.89784
-60.0,1,59.514374,15.950197,6.919684,0.68,6.9772816
1.0,1,50.814667,12.62227,4.634729,0.68,4.624973
-4.0,1,4.159668,8.017307,6.35437,-0.86,6.3613024
-3.0,1,63.30835,13.354624,7.0791845,-0.86,7.0817084
-3.0,1,63.30835,13.354624,7.0791845,-0.86,7.0817084
-3.0,1,63.30835,13.354624,7.0791845,-0.86,7.0817084
-3.0,1,63.30835,13.354624,7.0791845,-0.86,7.0817084
14.0,1,43.445465,14.535032,5.616771,1.42,5.5645204
3.0,1,66.97623,13.3172865,6.7238326,1.42,6.72022
3.0,1,66.97623,13.3172865,6.7238326,1.42,6.72022
-59.0,1,57.857544,11.852564,6.4457197,1.42,6.535241
190.0,1,5.370575,14.011865,7.172425,-0.02,7.0148144
190.0,1,5.370575,14.011865,7.172425,-0.02,7.0148144
190.0,1,5.370575,14.011865,7.172425,-0.02,7.0148144
190.0,1,5.370575,14.011865,7.172425,-0.02,7.0148144
48.0,1,30.733765,15.787028,5.673323,0.22,5.4930615
31.0,1,45.5083,13.376847,6.037871,0.22,5.961005
144.0,1,52.85251,13.644518,6.617403,0.17,6.403574
0.0,1,62.651947,9.236495,6.371612,-0.04,6.371612
0.0,1,23.99997,12.528953,5.5683446,0.5,5.5683446
255.0,1,52.045807,15.029325,7.1024995,-0.03,6.8669333
