securitized,diff_log_loan_amount,below_limit,applicant_income_log,log_loan_amount,agency_1,agency_2,agency_3,agency_5,agency_7,agency_9,loan_purpose,occupancy,year
1.0,-0.13318886821631,1.0,4.553876891600541,5.899897353582492,0.0,1.0,0.0,0.0,0.0,0.0,1,1,2015
1.0,-0.0850512326181558,1.0,5.247024072160486,5.948034989180646,0.0,1.0,0.0,0.0,0.0,0.0,1,1,2015
0.0,0.0,1.0,4.787491742782046,6.0330862217988015,0.0,1.0,0.0,0.0,0.0,0.0,1,1,2015
1.0,0.0,1.0,5.2574953720277815,6.0330862217988015,0.0,1.0,0.0,0.0,0.0,0.0,1,1,2015
0.0,0.1815218766233899,0.0,6.023447592961033,6.214608098422191,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2015
0.0,0.0399583123016036,0.0,4.770684624465665,6.073044534100405,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2015
0.0,0.0559586536480445,0.0,4.543294782270004,6.089044875446846,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2015
0.0,-0.1837614418519422,1.0,4.90527477843843,5.849324779946859,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.1304528883974356,1.0,5.605802066295998,5.902633333401366,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.0618243820083392,1.0,5.1298987149230735,5.971261839790462,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
0.0,-0.02181904739464,1.0,4.605170185988092,6.0112671744041615,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
1.0,0.0,1.0,5.594711379601839,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
1.0,0.0,1.0,5.170483995038151,6.0330862217988015,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
1.0,-0.0120628724492748,1.0,5.043425116919247,6.021023349349527,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
1.0,-0.1751530673153425,1.0,4.189654742026425,5.857933154483459,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2015
1.0,-0.0291991546922627,1.0,5.579729825986222,6.003887067106539,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2015
1.0,-0.0291991546922627,1.0,5.030437921392435,6.003887067106539,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2015
1.0,-0.1442082634659209,1.0,4.804021044733257,5.8888779583328805,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2015
