approved,diff_log_loan_amount,below_limit,applicant_income_log,log_loan_amount,agency_1,agency_2,agency_3,agency_5,agency_7,agency_9,loan_purpose,occupancy,year
1.0,-0.0929149690783699,1.0,5.298317366548036,5.940171252720432,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,-0.158155490946771,1.0,5.117993812416755,5.87493073085203,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,-0.0929149690783699,1.0,5.298317366548036,5.940171252720432,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,0.0,1.0,5.752572638825633,6.0330862217988015,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,-0.0746615287690195,1.0,4.477336814478207,5.958424693029782,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,0.0,1.0,5.298317366548036,6.0330862217988015,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,-0.1895418047674413,1.0,4.787491742782046,5.84354441703136,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,-0.0695068781803556,1.0,4.61512051684126,5.963579343618446,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,-0.0695068781803556,1.0,4.59511985013459,5.963579343618446,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,-0.0981920261792135,1.0,4.976733742420574,5.934894195619588,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,-0.1895418047674413,1.0,4.382026634673881,5.84354441703136,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,0.014285957247476,0.0,5.231108616854587,6.0473721790462776,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,-0.1088304243842692,1.0,4.875197323201151,5.924255797414532,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,-0.1982754847361967,1.0,4.709530201312334,5.834810737062605,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,-0.1553504400191627,1.0,4.912654885736052,5.877735781779639,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,0.0,1.0,4.997212273764115,6.0330862217988015,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,-0.0824436692110746,1.0,5.953243334287785,5.950642552587727,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,0.0,1.0,5.356586274672012,6.0330862217988015,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
0.0,0.0,1.0,4.499809670330265,6.0330862217988015,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
0.0,-0.1304528883974356,1.0,4.605170185988092,5.902633333401366,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,-0.1895418047674413,1.0,4.499809670330265,5.84354441703136,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.1304528883974356,1.0,5.017279836814924,5.902633333401366,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.0441248049089377,1.0,4.927253685157205,5.988961416889864,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
0.0,-0.0516720105443209,1.0,4.770684624465665,5.981414211254481,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.158155490946771,1.0,4.770684624465665,5.87493073085203,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
0.0,-0.1442082634659209,1.0,5.0106352940962555,5.8888779583328805,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.180883742024327,1.0,4.969813299576001,5.8522024797744745,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.0416216746908197,1.0,5.6131281063880705,5.991464547107982,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.0798428875110168,1.0,4.74493212836325,5.953243334287785,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
0.0,-0.1780142995963745,1.0,4.174387269895637,5.855071922202427,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.0850512326181558,1.0,4.983606621708336,5.948034989180646,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
0.0,-0.1034970784089068,1.0,5.365976015021851,5.929589143389895,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.1442082634659209,1.0,4.844187086458591,5.8888779583328805,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,-0.0850512326181558,1.0,4.343805421853684,5.948034989180646,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,-0.0955500167163752,1.0,5.1298987149230735,5.937536205082426,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.0981920261792135,1.0,5.003946305945459,5.934894195619588,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.1141923675256553,1.0,4.795790545596741,5.918893854273146,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.1304528883974356,1.0,4.7535901911063645,5.902633333401366,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
1.0,-0.1469821903486456,1.0,4.897839799950911,5.886104031450156,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2013
1.0,-0.0567353125008676,1.0,4.948759890378168,5.976350909297934,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2013
