originated,diff_log_loan_amount,below_limit,applicant_income_log,log_loan_amount,agency_1,agency_2,agency_3,agency_5,agency_7,agency_9,loan_purpose,occupancy,year
0.0,-0.0850512326181558,1.0,5.501258210544727,5.948034989180646,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2009
1.0,0.0353393664453092,0.0,5.2574953720277815,6.068425588244111,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2009
1.0,-0.1751530673153425,1.0,6.261491684321042,5.857933154483459,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2009
1.0,-0.0955500167163752,1.0,5.10594547390058,5.937536205082426,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2009
0.0,-0.0072202479734873,1.0,4.663439094112067,6.025865973825314,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2009
1.0,-0.0291991546922627,1.0,4.9344739331306915,6.003887067106539,0.0,1.0,0.0,0.0,0.0,0.0,1,1,2009
1.0,0.0,1.0,5.5093883366279774,6.0330862217988015,0.0,1.0,0.0,0.0,0.0,0.0,1,1,2009
0.0,-0.1837614418519422,1.0,5.003946305945459,5.849324779946859,0.0,1.0,0.0,0.0,0.0,0.0,1,1,2009
1.0,-0.0876656131922262,1.0,6.8658910748834385,5.945420608606575,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2009
1.0,-0.1469821903486456,1.0,5.517452896464707,5.886104031450156,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2009
1.0,-0.0416216746908197,1.0,5.638354669333745,5.991464547107982,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2009
1.0,0.0,1.0,5.402677381872279,6.0330862217988015,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2009
1.0,-0.0850512326181558,1.0,4.663439094112067,5.948034989180646,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2009
0.0,-0.0798428875110168,1.0,5.099866427824199,5.953243334287785,0.0,0.0,0.0,0.0,0.0,0.0,1,1,2009
1.0,-0.1061601958283908,1.0,5.521460917862246,5.926926025970411,0.0,0.0,0.0,1.0,0.0,0.0,1,1,2009
1.0,-0.0618243820083392,1.0,5.54907608489522,5.971261839790462,0.0,0.0,0.0,1.0,0.0,0.0,1,1,2009
1.0,-0.1088304243842692,1.0,5.857933154483459,5.924255797414532,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2016
1.0,0.1217718722176162,0.0,5.278114659230517,6.154858094016418,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2016
1.0,-0.1008410343507906,1.0,4.812184355372417,5.932245187448011,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2016
1.0,-0.1694550462007047,1.0,4.454347296253507,5.863631175598097,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2016
1.0,-0.1924445644254033,1.0,5.176149732573829,5.840641657373398,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2016
1.0,-0.172299998332936,1.0,4.700480365792417,5.860786223465865,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2016
1.0,-0.0291991546922627,1.0,4.969813299576001,6.003887067106539,0.0,0.0,0.0,0.0,1.0,0.0,1,1,2016
1.0,0.0,1.0,5.521460917862246,6.0330862217988015,0.0,0.0,0.0,1.0,0.0,0.0,1,1,2016
1.0,0.1469304318537707,0.0,4.804021044733257,6.180016653652572,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2016
1.0,0.076161360965564,0.0,5.204006687076795,6.1092475827643655,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2016
0.0,-0.0516720105443209,1.0,5.25227342804663,5.981414211254481,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2016
1.0,-0.1061601958283908,1.0,4.499809670330265,5.926926025970411,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2016
1.0,-0.1895418047674413,1.0,5.147494476813453,5.84354441703136,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2016
1.0,-0.0096386288377683,1.0,4.574710978503383,6.023447592961033,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2016
1.0,0.0,1.0,6.20455776256869,6.0330862217988015,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2016
1.0,-0.13318886821631,1.0,6.028278520230698,5.899897353582492,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2016
1.0,-0.0720808821755278,1.0,4.976733742420574,5.961005339623274,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2016
1.0,0.0,1.0,4.867534450455582,6.0330862217988015,1.0,0.0,0.0,0.0,0.0,0.0,1,1,2016
0.0,0.0190029471256156,0.0,4.9344739331306915,6.052089168924417,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2016
1.0,0.0,1.0,4.976733742420574,6.0330862217988015,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2016
1.0,0.0,1.0,4.8283137373023015,6.0330862217988015,0.0,0.0,1.0,0.0,0.0,0.0,1,1,2016
1.0,-0.031671343837651,1.0,4.762173934797756,6.001414877961151,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2016
1.0,-0.0929149690783699,1.0,5.176149732573829,5.940171252720432,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2016
1.0,0.0872111971521487,0.0,5.075173815233827,6.12029741895095,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2016
1.0,-0.1168841591913665,1.0,4.852030263919617,5.916202062607435,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2016
1.0,-0.1609684323233855,1.0,4.6913478822291435,5.872117789475416,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2016
0.0,0.0,1.0,5.236441962829949,6.0330862217988015,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2016
0.0,-0.0072202479734873,1.0,4.406719247264253,6.025865973825314,0.0,0.0,0.0,0.0,0.0,1.0,1,1,2016
